gen,avg_fitness,std_fitness,best_of_gen
0,5.2990753688782455,1.3451757424828814,7.648423474078099
1,4.784125234548693,1.5224866575757081,8.653573899767359
2,4.488045665484276,1.8888668138139195,10.16167800010028
3,4.349597140138735,2.018129157402519,10.16167800010028
4,3.2499696261721662,1.7191506167143524,9.03160041713096
5,2.269363749181719,1.1391820519993656,4.756214607684303
6,1.4065993926320983,0.9972178371928192,3.2327945605134727
7,0.6751195441909943,0.6157801617349755,3.2190234587940805
8,0.7675055563814713,0.9011075558645231,2.8634277647124837
9,1.2230639217215309,1.3988468394668427,3.2507658975326064
10,0.1838580541552705,0.6231394209274121,3.1962001421947908
11,0.33173626389019434,0.9163464991511909,3.19009248098282
12,0.3768669525455697,1.0180446410884445,3.2486185579561035
13,0.3089576478494148,0.8585354633188897,3.093563326697073
14,0.49679950051778604,1.091591893129918,3.2498289402169083
15,0.0800314654895935,0.43350091834722515,2.9593855391139674
16,0.28019848568835565,0.8404734985470732,3.251909574255294
17,0.07060402091434329,0.34208144741421137,1.8878974547683787
18,0.1503197511365862,0.6039673876869766,3.197424315574328
19,0.4932050489044245,1.0960246508328821,3.233132897545975
20,0.3201726921834704,0.9027050544138764,3.232168370544479
21,0.4227329387663393,1.0495677714035843,3.252454345988373
22,0.021970437345974734,0.14873796812696724,1.0631351324499616
23,0.14020751442009122,0.6014035928564347,3.151670979600983
24,0.2875937701125736,0.8217125590990635,3.232201819776844
