gen,avg_fitness,std_fitness,best_of_gen
0,11116211.61222118,1567884.6548522566,12936435.971186318
1,11904448.0829489,1205565.033324785,13168478.79474718
2,12372842.86488923,841056.2698711939,13185267.291888734
3,12617524.658817396,498190.99366397655,13185267.291888734
4,12573453.577551218,638694.0960797308,13185267.291888734
5,12526566.625826806,660513.4349479254,13185267.291888734
6,12498951.708151607,770715.8459794811,13185267.291888734
7,12576108.666664785,892588.9275669825,13185267.291888734
8,12757994.532050636,378529.79900362866,13185267.291888734
9,12680367.961821865,553834.5962193476,13235902.316217687
10,12424263.40527035,853286.5481975225,13235902.316217687
11,12649879.080711495,536408.0379453007,13235902.316217687
12,12650724.887574358,613131.6211882874,13237627.957516652
13,12638715.900383335,770824.2001294077,13308838.314915573
14,12484011.896462172,920306.11697337,13308838.314915573
15,12514258.835449444,564439.3482026363,13308838.314915573
16,12426270.575959353,787839.6451956277,13308838.314915573
17,12587182.98082629,685765.0466311787,13308838.314915573
18,12759564.10748818,546196.4517693303,13308838.314915573
19,12691344.127123287,572364.7992267048,13308838.314915573
20,12506830.091619767,1008217.7514888116,13308838.314915573
21,12390557.777251413,1241018.6211218424,13308838.314915573
22,12739550.10211354,695296.9131136487,13308838.314915573
23,12644425.062781274,754911.6747351445,13308838.314915573
24,12677140.40337609,744100.8655287228,13308838.314915573
25,12772409.02403346,654312.2986779743,13342193.056461405
26,12685767.291863473,907581.8910698348,13342193.056461405
27,12820401.68588631,511988.81410827284,13342193.056461405
28,12858586.511565896,488308.29825720366,13342193.056461405
29,12446836.304898838,1067460.7152295385,13342193.056461405
30,12604593.144199185,717187.1763319158,13342193.056461405
31,12502799.021281073,739608.4859943338,13342193.056461405
32,12692729.359659076,515308.80221799604,13342193.056461405
33,12573161.75195788,644836.8082348859,13342193.056461405
34,12721485.770678464,613788.7567229321,13342193.056461405
35,12804069.567685127,655778.2996379291,13342193.056461405
36,12499523.835250933,972031.094283365,13342193.056461405
37,12487747.510130702,747598.1220533196,13342193.056461405
38,12631183.246409515,802297.2473663145,13398766.240098186
39,12146142.47175185,1387005.6575147558,13398766.240098186
40,12322982.82398063,1134916.1427112157,13398766.240098186
41,12667095.01668056,542465.0328529018,13398766.240098186
42,12785029.715218104,464276.89486626594,13398766.240098186
43,12802833.298980435,722447.8357961839,13398766.240098186
44,12669114.513265265,584561.1001166321,13398766.240098186
45,12513619.098286372,1090719.1464817435,13398766.240098186
46,12791532.952184172,486465.0823048253,13398766.240098186
47,12860855.532075806,493652.0495073989,13398766.240098186
48,12625488.01857004,635354.409252161,13398766.240098186
49,12734210.77048578,628023.2331649318,13398766.240098186
0,11442931.159587413,1503929.374984429,13161964.437511904
1,11923082.697170883,1494084.6366355119,13161964.437511904
2,12568414.16364398,767888.4094725895,13182601.607833166
3,12650402.72034612,441457.1349690633,13182601.607833166
4,12430846.612147626,787051.5316282541,13182601.607833166
5,12635930.276643567,588108.9368850025,13182601.607833166
6,12613850.887943782,678849.9184002961,13225160.982225984
7,12392338.03038092,837001.2658880673,13259371.695926722
8,12617390.973960001,565821.8546469068,13288584.817749655
9,12659636.412418915,599266.2391719989,13288584.817749655
10,12681606.683680786,569670.5607445504,13288584.817749655
11,12549806.326877374,606708.5238206679,13288584.817749655
12,12623406.208872508,608512.8785674146,13288584.817749655
13,12745395.80341763,443040.6656110773,13288584.817749655
14,12673919.706301708,616014.2793918786,13288584.817749655
15,12322568.18172013,1090652.982919764,13319754.422143038
16,12780159.30489249,482907.2131670883,13319754.422143038
17,12533546.338798227,787377.8069024839,13393894.656295888
18,12543289.948230704,568391.9931488087,13393894.656295888
19,12255006.457735738,1066519.3416604672,13393894.656295888
20,12271385.479702452,1060396.953270025,13397851.87409192
21,12677896.033043286,452855.5584072136,13413096.042362332
22,12661682.41998096,664005.5754856409,13420791.193263618
23,12926192.982535105,423606.5152358004,13420791.193263618
24,12703262.789419705,883901.357752322,13420791.193263618
25,12995782.415981958,345758.51736006426,13422223.337517684
26,12587326.943656575,643094.9573093415,13422223.337517684
27,12464913.319080235,875256.9349748397,13422223.337517684
28,12406460.320217613,834274.4183626941,13422223.337517684
29,12712845.580349673,648608.9469112579,13422223.337517684
30,12581593.45573163,797137.1286226859,13422223.337517684
31,12631168.442502502,790610.191791872,13422223.337517684
32,12593279.908441108,864704.5245937157,13422223.337517684
33,12954637.56516874,350743.7627331848,13422223.337517684
34,12671199.14971508,825485.6278435633,13422223.337517684
35,12734221.58492452,574593.9571511297,13422223.337517684
36,12623345.173671953,735700.9772577235,13422223.337517684
37,12696916.086725712,604943.332915028,13422223.337517684
38,12915092.641463075,400532.06180263904,13422223.337517684
39,12402921.79373082,994189.8716722373,13422223.337517684
40,12101817.300726244,1313174.5205027198,13423855.767512934
41,12632273.2672703,968966.7885407871,13423855.767512934
42,12687238.738571087,688418.7682362964,13423855.767512934
43,12570134.04408103,1195064.241731519,13423855.767512934
44,12638110.715321768,777936.0654085504,13423855.767512934
45,12795638.684219563,743372.5973526118,13425875.079464504
46,12790547.963281356,757528.1656210388,13425875.079464504
47,12879078.597682668,755097.3498627786,13425875.079464504
48,12853151.535956156,591534.5858788402,13425875.079464504
49,12740576.521551276,935470.3537348612,13425875.079464504
0,11506210.08345197,1898790.1179676475,13138833.980803944
1,12094389.95777228,1477594.2705967887,13138833.980803944
2,12419829.386719633,1039291.6127687584,13146071.002077393
3,12286420.028627435,1283819.7754304954,13146071.002077393
4,12310503.748911895,1333831.557766317,13151468.95335937
5,12575462.625075115,664117.6932998523,13151468.95335937
